ID	X	Y	Z	W	L	H	TX	TY	Type	Color	Behavior	Name
111												
30	10	600	100	10	150	200	80	600	2	1809	2	Door-1
31	1190	600	100	10	150	200	1120	600	2	1809	2	Door-2
32	900	10	100	150	10	200	900	80	2	1809	2	Door-3
33	900	1190	100	150	10	200	900	1120	2	1809	2	Door-4
34	900	600	15	40	20	30	820	600	3	497	2	ChargingStation-1
35	700	1050	19	126	48	38	700	1050	2	3878	2	sofa_1
35	763	1050	29	20	48	57	700	1050	2	3878	2	sofa_2
35	637	1050	29	20	48	57	700	1050	2	3878	2	sofa_3
35	700	1074	48	166	20	95	700	980	2	3878	2	sofa_4
36	600	350	73	151	80	10	600	350	2	287	2	table_1
36	661	325	34	10	10	68	661	325	2	287	2	table_2
36	539	325	34	10	10	68	539	325	2	287	2	table_3
36	661	375	34	10	10	68	661	375	2	287	2	table_4
36	539	375	34	10	10	68	480	350	2	287	2	table_5
37	638	283	39	48	39	10	638	283	2	4081	2	chair1_1
37	658	261	44	5	5	88	658	261	2	4081	2	chair1_2
37	617	261	44	5	5	88	617	261	2	4081	2	chair1_3
37	658	299	17	5	5	34	658	299	2	4081	2	chair1_4
37	617	299	17	5	5	34	617	299	2	4081	2	chair1_5
37	638	261	70	38	3	34	638	180	2	4081	2	chair1_6
38	562	283	39	48	39	10	562	283	2	4081	2	chair2_1
38	583	261	44	5	5	88	583	261	2	4081	2	chair2_2
38	542	261	44	5	5	88	542	261	2	4081	2	chair2_3
38	583	299	17	5	5	34	583	299	2	4081	2	chair2_4
38	542	299	17	5	5	34	542	299	2	4081	2	chair2_5
38	562	261	70	38	3	34	562	180	2	4081	2	chair2_6
39	638	417	39	48	39	10	638	417	2	4081	2	chair3_1
39	658	439	44	5	5	88	658	439	2	4081	2	chair3_2
39	617	439	44	5	5	88	617	439	2	4081	2	chair3_3
39	658	401	17	5	5	34	658	401	2	4081	2	chair3_4
39	617	401	17	5	5	34	617	401	2	4081	2	chair3_5
39	638	439	70	38	3	34	638	520	2	4081	2	chair3_6
40	562	417	39	48	39	10	562	417	2	4081	2	chair4_1
40	583	439	44	5	5	88	583	439	2	4081	2	chair4_2
40	542	439	44	5	5	88	542	439	2	4081	2	chair4_3
40	583	401	17	5	5	34	583	401	2	4081	2	chair4_4
40	542	401	17	5	5	34	542	401	2	4081	2	chair4_5
40	562	439	70	38	3	34	562	520	2	4081	2	chair4_6
41	700	50	83	96	64	7	700	50	2	4081	2	cabinet1_1
41	723	53	77	44	49	5	723	53	2	4081	2	cabinet1_2
41	678	53	77	44	49	5	678	53	2	4081	2	cabinet1_3
41	700	26	41	88	5	76	700	26	2	4081	2	cabinet1_4
41	741	53	39	7	49	71	741	53	2	4081	2	cabinet1_5
41	704	53	39	5	49	71	703	53	2	4081	2	cabinet1_6
41	697	53	39	5	49	71	698	53	2	4081	2	cabinet1_7
41	660	53	39	7	49	71	660	53	2	4081	2	cabinet1_8
41	721	50	41	31	44	66	721	50	2	287	2	cabinet1_9
41	680	50	41	31	44	66	680	50	2	287	2	cabinet1_10
41	704	78	43	3	2	6	704	78	2	4081	2	cabinet1_11
41	697	78	43	3	2	6	697	78	2	4081	2	cabinet1_12
41	721	53	6	32	49	5	721	53	2	4081	2	cabinet1_13
41	679	53	6	32	49	5	679	53	2	4081	2	cabinet1_14
41	742	32	2	5	5	3	742	34	2	4081	2	cabinet1_15
41	659	32	2	5	5	3	659	34	2	4081	2	cabinet1_16
41	742	74	2	5	5	3	742	74	2	4081	2	cabinet1_17
41	659	74	2	5	5	3	700	120	2	4081	2	cabinet1_18
42	80	120	28	51	118	55	80	120	2	511	2	bathtub_1
42	80	58	33	65	7	65	80	58	2	4095	2	bathtub_2
42	109	124	33	7	126	65	109	124	2	4095	2	bathtub_3
42	51	124	33	7	126	65	51	124	2	4095	2	bathtub_4
42	80	183	33	51	8	65	80	183	2	4095	2	bathtub_5
42	80	59	77	5	5	21	80	59	2	287	2	bathtub_6
42	80	65	85	5	11	5	80	65	2	287	2	bathtub_7
42	80	69	80	5	5	5	200	120	2	287	2	bathtub_8
43	400	1100	34	150	42	38	400	1300	2	1809	2	TVstand_1
43	463	1092	8	5	5	15	463	1292	2	1809	2	TVstand_2
43	463	1109	8	5	5	15	463	1309	2	1809	2	TVstand_3
43	400	1092	8	5	5	15	400	1292	2	1809	2	TVstand_4
43	400	1109	8	5	5	15	400	1309	2	1809	2	TVstand_5
43	338	1092	8	5	5	15	338	1292	2	1809	2	TVstand_6
43	338	1109	8	5	5	15	250	1100	2	1809	2	TVstand_7
44	400	1100	55	58	29	5	400	1100	2	0	2	TV_1
44	400	1100	68	15	7	20	400	1100	3	0	2	TV_2
44	400	1100	100	78	9	45	400	1100	2	0	2	TV_3
44	400	1095	95	97	5	58	400	1095	2	0	2	TV_4
44	400	1087	95	87	12	48	400	1087	2	0	2	TV_5
44	400	1087	121	97	12	5	400	1087	2	25	2	TV_6
44	354	1087	95	5	12	48	354	1087	2	25	2	TV_7
44	446	1087	95	5	12	48	446	1087	2	25	2	TV_8
44	400	1087	69	97	12	5	400	1100	2	25	2	TV_9
45	50	1100	20	80	140	40	170	1100	2	497	2	Bed
46	1100	800	40	59	60	80	0	0	2	0	2	washingMachine
46	1092	800	81	20	20	2	0	0	3	0	2	washingMachine
46	1092	800	83	16	16	2	0	0	3	8	2	washingMachine
46	1121	800	81	8	60	2	0	0	2	0	2	washingMachine
46	1121	820	83	4	8	2	0	0	2	3	2	washingMachine
46	1121	807	83	4	8	2	0	0	2	3	2	washingMachine
46	1121	793	83	4	8	2	0	0	2	3	2	washingMachine
46	1121	780	83	4	8	2	1121	780	2	3	2	washingMachine
47	1100	650	63	67	119	6	0	0	2	0	2	washBasin
47	1100	697	73	67	26	14	0	0	2	0	2	washBasin
47	1100	604	73	67	26	14	0	0	2	0	2	washBasin
47	1125	650	73	16	68	14	0	0	2	0	2	washBasin
47	1074	650	73	16	68	14	0	0	2	0	2	washBasin
47	1124	650	91	5	5	21	0	0	2	3	2	washBasin
47	1118	650	99	11	5	5	0	0	2	3	2	washBasin
47	1114	650	94	5	5	5	0	0	2	3	2	washBasin
47	1104	650	30	60	119	60	0	0	2	6	2	washBasin
47	1070	681	30	7	59	60	0	0	2	3	2	washBasin
47	1070	620	30	7	59	60	0	0	2	3	2	washBasin
47	1065	655	45	3	2	6	0	0	2	5	2	washBasin
47	1065	645	45	3	2	6	1065	645	2	5	2	washBasin
48	900	300	13	64	120	6	0	0	2	0	2	sink
48	900	347	23	64	26	14	0	0	2	0	2	sink
48	900	256	23	64	32	14	0	0	2	0	2	sink
48	923	331	23	16	62	14	0	0	2	0	2	sink
48	875	331	23	16	62	14	0	0	2	0	2	sink
48	922	344	41	5	5	21	0	0	2	3	2	sink
48	916	344	49	11	5	5	0	0	2	3	2	sink
48	912	344	44	5	5	5	0	0	2	3	2	sink
48	900	256	30	44	12	5	900	256	2	5	2	sink
												
												
												
												
												
												
												
												
												
80												
30	10	600	100	10	150	200	50	600	2	7	Door-1	
31	1190	600	100	10	150	200	1150	600	2	7	Door-2	
32	600	10	100	150	10	200	600	50	2	7	Door-3	
33	600	1190	100	150	10	200	600	1150	2	7	Door-4	
34	900	600	15	40	20	30	850	600	3	2	ChargingStation-1	
35	700	1050	19	126	48	38	700	1050	2	4	sofa_1	
35	763	1050	29	20	48	57	700	1050	2	4	sofa_2	
35	637	1050	29	20	48	57	700	1050	2	4	sofa_3	
35	700	1074	48	166	20	95	700	1050	2	4	sofa_4	
36	600	350	73	151	80	10	600	350	2	3	table_1	
36	661	325	34	10	10	68	661	325	2	3	table_2	
36	539	325	34	10	10	68	539	325	2	3	table_3	
36	661	375	34	10	10	68	661	375	2	3	table_4	
36	539	375	34	10	10	68	539	375	2	3	table_5	
37	638	283	39	48	39	10	638	283	2	5	chair1_1	
37	658	261	44	5	5	88	658	261	2	5	chair1_2	
37	617	261	44	5	5	88	617	261	2	5	chair1_3	
37	658	299	17	5	5	34	658	299	2	5	chair1_4	
37	617	299	17	5	5	34	617	299	2	5	chair1_5	
37	638	261	70	38	3	34	638	261	2	5	chair1_6	
