ID	X	Y	Z	W	L	H	TX	TY	Type	Color	Gesture	Name
167												
20	10	600	100	10	150	200	80	600	2	1809	13	Door-1
21	1190	400	100	10	150	200	1120	400	2	1809	13	Door-2
22	900	10	100	150	10	200	900	80	2	1809	13	Door-3
23	900	1190	100	150	10	200	900	1120	2	1809	13	Door-4
24	900	600	15	40	20	30	820	600	3	497	13	ChargingStation-1
25	700	900	19	48	126	38	0	0	2	3871	13	sofa_1
25	700 	973 	29 	48 	20	57	0	0	2	3871	13	sofa_2
25	700 	827 	29 	48 	20	57	0	0	2	3871	13	sofa_3
25	734 	900 	48 	20 	166	95	700	946	2	3871	13	sofa_4
26	600	350	73	151	80	10	0	0	2	287	13	table_1
26	661	325	34	10	10	68	0	0	2	287	13	table_2
26	539	325	34	10	10	68	0	0	2	287	13	table_3
26	661	375	34	10	10	68	0	0	2	287	13	table_4
26	539	375	34	10	10	68	756	350	2	287	13	table_5
27	638	283	39	48	39	10	0	0	2	4081	13	chair1_1
27	658	261	44	5	5	88	0	0	2	4081	13	chair1_2
27	617	261	44	5	5	88	0	0	2	4081	13	chair1_3
27	658	299	17	5	5	34	0	0	2	4081	13	chair1_4
27	617	299	17	5	5	34	0	0	2	4081	13	chair1_5
27	638	261	70	38	3	34	638	183	2	4081	13	chair1_6
28	562	283	39	48	39	10	0	0	2	4081	13	chair2_1
28	583	261	44	5	5	88	0	0	2	4081	13	chair2_2
28	542	261	44	5	5	88	0	0	2	4081	13	chair2_3
28	583	299	17	5	5	34	0	0	2	4081	13	chair2_4
28	542	299	17	5	5	34	0	0	2	4081	13	chair2_5
28	562	261	70	38	3	34	562	183	2	4081	13	chair2_6
29	638	417	39	48	39	10	0	0	2	4081	13	chair3_1
29	658	439	44	5	5	88	0	0	2	4081	13	chair3_2
29	617	439	44	5	5	88	0	0	2	4081	13	chair3_3
29	658	401	17	5	5	34	0	0	2	4081	13	chair3_4
29	617	401	17	5	5	34	0	0	2	4081	13	chair3_5
29	638	439	70	38	3	34	638	517	2	4081	13	chair3_6
30	562	417	39	48	39	10	0	0	2	4081	13	chair4_1
30	583	439	44	5	5	88	0	0	2	4081	13	chair4_2
30	542	439	44	5	5	88	0	0	2	4081	13	chair4_3
30	583	401	17	5	5	34	0	0	2	4081	13	chair4_4
30	542	401	17	5	5	34	0	0	2	4081	13	chair4_5
30	562	439	70	38	3	34	562	517	2	4081	13	chair4_6
31	700	50	83	96	64	7	0	0	2	4081	13	cabinet1_1
31	723	53	77	44	49	5	0	0	2	4081	13	cabinet1_2
31	677	53	77	44	49	5	0	0	2	4081	13	cabinet1_3
31	700	26	41	88	5	76	0	0	2	4081	13	cabinet1_4
31	741	53	39	7	49	71	0	0	2	4081	13	cabinet1_5
31	704	53	39	5	49	71	0	0	2	4081	13	cabinet1_6
31	697	53	39	5	49	71	0	0	2	4081	13	cabinet1_7
31	660	53	39	7	49	71	0	0	2	4081	13	cabinet1_8
31	721	50	41	32	44	66	0	0	2	287	13	cabinet1_9
31	679	50	41	32	44	66	0	0	2	287	13	cabinet1_10
31	704	78	43	3	2	6	0	0	2	4081	13	cabinet1_11
31	697	78	43	3	2	6	0	0	2	4081	13	cabinet1_12
31	721	53	6	32	49	5	0	0	2	4081	13	cabinet1_13
31	679	53	6	32	49	5	0	0	2	4081	13	cabinet1_14
31	742	32	2	5	5	3	0	0	2	4081	13	cabinet1_15
31	659	32	2	5	5	3	0	0	2	4081	13	cabinet1_16
31	742	74	2	5	5	3	0	0	2	4081	13	cabinet1_17
31	659	74	2	5	5	3	700	162	2	4081	13	cabinet1_18
32	1150	120	28	51	118	55	0	0	2	511	13	bathtub_1
32	1150	58	33	65	7	65	0	0	2	4095	13	bathtub_2
32	1179	124	33	7	126	65	0	0	2	4095	13	bathtub_3
32	1121	124	33	7	126	65	0	0	2	4095	13	bathtub_4
32	1150	183	33	51	8	65	0	0	2	4095	13	bathtub_5
32	1150	59	77	5	5	21	0	0	2	287	13	bathtub_6
32	1150	65	85	5	11	5	0	0	2	287	13	bathtub_7
32	1150	69	80	5	5	5	1045	120	2	287	13	bathtub_8
33	500	1100	34	150	42	38	0	0	2	2065	13	TVstand_1
